id,product_name,price,stock,date_added
965,Mini Cordless Vacuum Cleaner,$182531.11,19,13/12/2025
966,Almond Flour Brownies,$83950.10,20,23/8/2024
967,Spicy Tuna Salad,$131861.86,17,26/2/2023
968,Strawberry Banana Smoothie Pack,$623762.29,2,11/3/2024
969,Vanilla Protein Powder,$170339.72,18,5/8/2023
970,Electric Stir Fry Pan,$947236.94,2,25/5/2020
971,Black Olives,$440914.84,10,24/6/2023
972,Multi-Functional Rice Cooker,$269587.90,17,29/7/2020
973,Smart LED Desk Lamp,$611592.93,8,18/2/2024
974,Scented Soy Candles,$846276.86,2,16/2/2021
975,Kids' Building Blocks,$225572.25,18,14/9/2025
976,Tahini,$935933.45,9,28/4/2021
977,Frozen Burritos,$92848.18,4,3/12/2021
978,Cranberry Lime Sparkling Water,$711039.32,4,12/5/2024
979,LED Desk Lamp with USB Charging,$667401.94,18,20/3/2024
980,Cheddar Cheese Crackers,$335245.63,3,16/11/2020
981,Natural Fruit Snacks,$585357.06,16,8/5/2023
982,LED Desk Light,$489844.95,3,26/1/2021
983,Water-Resistant Bluetooth Speaker,$862031.83,1,15/5/2023
984,Pasta (Fusilli),$747093.45,7,23/8/2022
985,Collapsible Folding Chair,$298351.99,2,29/7/2021
986,Fitness Jump Box,$722439.29,17,21/7/2022
987,Kale Salad Kit,$214851.59,13,20/10/2021
988,Pet Carrier,$437162.99,17,5/5/2024
989,Vegetable Curry,$2104.58,19,23/3/2020
990,Baby Monitor,$249354.56,11,19/8/2021
991,Premium Flashlight,$600337.63,6,21/3/2024
992,Portable USB-C Monitor,$295587.27,7,6/8/2022
993,Wall Calendar,$782617.99,7,19/10/2022
994,Organic Tomato Soup,$381646.02,9,23/6/2021
995,Lentil Vegetable Stew,$372370.81,9,27/4/2024
996,Cinnamon Spiced Almonds,$850968.14,15,10/7/2022
997,Whole Chicken,$820855.46,20,6/8/2025
998,Fitness Resistance Bands Set,$149317.06,13,3/9/2023
999,Under Desk Footrest,$722419.13,3,24/9/2020
1000,Organic Green Tea,$528998.94,17,9/7/2025
